Price,Close,High,Low,Open,Volume
Ticker,AMRK,AMRK,AMRK,AMRK,AMRK
Date,,,,,
2014-03-17,4.789455890655518,4.929898360378562,4.497767076705787,4.497767076705787,68200
2014-03-18,5.131558418273926,5.3656293666489345,4.771449055588037,4.789454592407741,135600
2014-03-19,5.041532039642334,5.185575674832697,4.987515762302727,5.095548316981941,25600
2014-03-20,5.041532039642334,5.041532039642334,4.969870133664537,5.041532039642334,8200
2014-03-21,4.767848491668701,5.005520646607088,4.681422315950578,5.005520646607088,10600
2014-03-24,4.472559452056885,4.699428449587555,4.339318995112296,4.699428449587555,57400
2014-03-25,4.839870929718018,4.839870929718018,4.393335287421469,4.537379275645192,8200
2014-03-26,4.490565299987793,4.825466881979393,4.41134111843587,4.537379573476331,25200
2014-03-27,4.728236198425293,4.753443745116978,4.51937278559602,4.51937278559602,50600
2014-03-28,4.681421279907227,4.681421279907227,4.677099937734965,4.677099937734965,4200
2014-03-31,4.724635601043701,4.821865310355851,4.699428051263711,4.821865310355851,43200
2014-04-01,4.710229873657227,4.753442950804989,4.701227278036572,4.753442950804989,14600
2014-04-02,4.685023784637451,4.717433688409721,4.609400790311194,4.717433688409721,9800
2014-04-03,4.638208866119385,4.7138318498277965,4.613001319358937,4.7138318498277965,9400
2014-04-04,4.508569717407227,4.659815344910877,4.501367364778584,4.659815344910877,20800
2014-04-07,4.501367568969727,4.504968745447404,4.3213128662109375,4.501367568969727,22600
2014-04-08,4.37532901763916,4.501367443425918,4.324913922066123,4.497766267048679,17000
2014-04-09,4.321313381195068,4.375329661089154,4.281701465501214,4.3634460520382845,8000
2014-04-10,4.324915409088135,4.3321174208917785,4.232007018488009,4.285303142172894,70600
2014-04-11,4.310511112213135,4.310511112213135,4.288184222746758,4.288184222746758,13600
2014-04-14,4.299705982208252,4.299705982208252,4.195274272439331,4.231285348950164,15200
2014-04-15,4.220482349395752,4.267296613552455,4.1952744573562395,4.1952744573562395,18800
2014-04-16,4.28530216217041,4.3033077027026465,4.245690247741187,4.249291424533059,15400
2014-04-17,4.321313381195068,4.32851573500875,4.299706663181155,4.303307840087996,79200
2014-04-21,4.213281631469727,4.324915742154467,4.195276085433191,4.324915742154467,8600
2014-04-22,4.238487243652344,4.3141098779852864,4.224803049793895,4.2276837158101745,10800
