Date,Close,High,Low,Open,Volume
2020-10-21,277.02227783203125,281.31578684787894,274.6767213938293,277.84717921242225,28998600
2020-10-22,276.4159851074219,280.7194726683102,273.3548692673626,278.15526305374203,16720000
2020-10-23,283.0451354980469,283.49236020552047,275.12396548594063,277.0918148600258,17535200
2020-10-26,275.412109375,283.48238293592084,272.5795958270147,281.4250587191067,21322900
2020-10-27,281.5543212890625,282.76684769418074,274.6170760754383,277.05207732254803,16287200
2020-10-28,266.0299987792969,277.0818616666197,265.6225072103546,277.0818616666197,23121800
2020-10-29,279.10931396484375,281.8623613173474,272.102522131915,274.8555391538247,32368100
2020-10-30,261.4978942871094,275.00465421209617,257.5124844285738,272.81812161518275,47247800
2020-11-02,259.7586364746094,268.8128354073454,255.7632778758947,262.97880566594404,27165700
2020-11-03,263.6745300292969,268.3954274106286,259.2816277669627,261.54765729677786,17961900
2020-11-04,285.6192626953125,287.1697023394127,276.9129244395183,279.2783473231227,35364400
2020-11-05,292.8744812011719,295.5579503678117,287.1796084619683,290.11151554193805,23823600
2020-11-06,291.6123352050781,292.7950467231143,286.2951075927427,292.1490352181994,13891000
2020-11-09,277.06195068359375,290.78733366350986,276.8234308819601,288.093946468079,25117700
2020-11-10,270.7608642578125,272.3212524361526,262.3825205954171,271.42677263660687,29067700
2020-11-11,274.7860412597656,276.6942605964407,270.81054892265985,271.7944735703017,14957000
2020-11-12,273.3945617675781,278.0359618579069,272.7485504066816,275.4817010594403,12899500
2020-11-13,275.2531433105469,276.05817802529583,271.42672614120846,276.0184146121756,10391200
2020-11-16,277.2508239746094,277.6980789897363,272.9473669136245,273.3647766191837,12970400
2020-11-17,273.3150939941406,275.9786665399034,271.6155795385993,275.9786665399034,15040300
2020-11-18,270.30364990234375,275.69045508475585,270.17444155520394,272.8380140033555,12152900
2020-11-19,271.2677307128906,271.7944822511571,267.5407065278164,269.3594809846684,12963700
2020-11-20,268.0475769042969,271.3273458760536,267.75934522380226,270.8900393024062,18114700
2020-11-23,266.7853698730469,269.289949693022,262.90927054523104,269.23031972879426,20990800
2020-11-24,275.22332763671875,276.117807280776,266.2287586860281,266.8449551001431,16930400
2020-11-25,273.9014892578125,278.463363234888,270.97949986116015,276.4358839099215,12467000
2020-11-27,276.10784912109375,277.41976872916064,273.1361786277299,275.69043945617915,7808400
2020-11-30,275.27301025390625,275.998548474072,269.34953557543525,274.33876719310007,16693300
2020-12-01,284.7943420410156,287.5274932326975,277.2508483916457,277.44963515600875,20738900
2020-12-02,285.7583312988281,289.99223964766236,279.10931903154386,283.6115621500077,17361600
2020-12-03,280.1231689453125,284.89374819792175,279.3479490584984,284.4962049819715,12921700
2020-12-04,277.9862976074219,281.72323956175984,277.5887241323964,278.5825971587646,10880300
2020-12-07,283.8302917480469,286.72246636545617,276.495533096647,277.4794578471977,13007700
2020-12-08,281.66363525390625,284.67506958478833,279.8249639215827,284.2576598608406,10747700
2020-12-09,276.2171936035156,285.867691804622,270.08498393467886,281.9220148371362,25189700
2020-12-10,275.4220886230469,277.02223996978546,270.1943067907997,273.8517825845174,20065100
2020-12-11,271.87396240234375,274.7860335083833,268.59419344898964,272.84796891647494,14391400
2020-12-14,272.5100402832031,275.52147425983287,269.89614944043467,271.6950571438995,16376900
2020-12-15,273.86175537109375,274.3885069678016,265.8312730481619,273.1461654349431,23979500
2020-12-16,273.9809875488281,276.15754154878624,270.84034517994166,273.07655946498386,15885000
2020-12-17,272.7983093261719,278.721784724986,271.9336142200269,275.3724371090971,16377800
2020-12-18,274.7064514160156,276.29665405221886,269.4787008166651,274.08030666365,26693200
2020-12-21,271.11865234375,272.9871386308636,266.1492868272138,271.3074906598264,16553700
2020-12-22,265.4535827636719,269.836567106623,263.0086632448877,269.836567106623,17312900
2020-12-23,266.4673156738281,270.5024685667698,264.5988596296314,265.2548195482692,14329000
2020-12-24,265.7616271972656,268.74324611944274,264.5689978267525,267.2325701178876,6702000
2020-12-28,275.3028259277344,275.6009757008323,264.03230954567135,267.0934250950006,23299700
2020-12-29,275.08416748046875,278.79132468616433,274.5872309809137,275.2531392357801,16383000
2020-12-30,270.20428466796875,276.3762283507952,270.0452613265151,276.24705032080266,11803800
2020-12-31,271.4863586425781,275.39227234420343,268.1568779489153,270.3334622960556,12900400
2021-01-04,267.2922058105469,273.3150737362507,263.5751305135248,273.0964204640378,15106100
2021-01-05,269.30975341796875,270.73098445154903,266.566654380942,266.64618120176334,9871600
2021-01-06,261.6966552734375,266.10945311284866,258.4168870311742,260.39468427849243,24354100
2021-01-07,267.09344482421875,269.94585574307666,263.1577158756211,264.270848884873,15789800
2021-01-08,265.9306335449219,267.3021832804523,261.56751606249094,266.666089935615,18528300
2021-01-11,255.26637268066406,261.8557564270497,254.33212950611943,258.884085455386,30412300
2021-01-12,249.5515899658203,258.1287195660793,248.76643689922236,255.05765536457494,26383500
2021-01-13,250.09820556640625,252.39404981083618,247.67315297678024,250.0087606344853,19528900
2021-01-14,244.1349639892578,253.46743088612746,243.11127600880906,251.8474130374199,29739400
